complaint_what_happened,ticket_classification
"i had a charge account with chase card services. i received their statement and paid off the account on xxxx xxxx, 2017 for {$640.00} which was due on xxxx xxxx. this is what the online statement said, so that is what i paid. well i check their account to make sure all is going well, and see now they charged me an additional {$8.00}. i asked them to waive this fee, since i paid off the account, and was told no, because it was the interest that was accrued and i had to pay it. and apparently, the payment i made did n't hit the cut off date. so i paid it. well, then i get another bill, this time for xxxx cents. i asked them to waive it, since i have made my payments on time and no issues. well, nope, this big run around about how i have to pay this, as it is and activity amount and this incurred because of the billing cycle. so, again i paid this. i ca n't have my credit go bad for this kind of tedious mess. <p/>i have never worked with a credit card company to treat you like this as this company has me. i have paid them off, will not use them again, and i am done with them. i just want others to know this is the way they treat their customers.",Credit card or prepaid card + General-purpose credit card or charge card
"i deposited three checks via mobile deposit.

i forgot to write my name to the pay to order section i called if they can cancel it and i will correct it but i was told it can not be cancelled. 

the funds was already debited from the check issuer but chase is still holding the funds because they said they can not verify the checks if they can not verify it then why they took the money from the check issuer? 

checks was deposited xx/xx/xxxx,2019",Checking or savings account + Checking account
this is a debt that was settled and my mortgage on my home is clear of this debt - the lien is clear as in the attachment you will see all has been cleared. i owe this creditor nothing. there are continued xxxx shipments and letters sent to my home. i have sent them the lien release documentation many times.,"Debt collection + Other (i.e. phone, health club, etc.)"
"i changed banks back in late xxxx, and stopped using this account, several merchants have refused to not try and take funds from this account, this has happened probably at least a 10 times or more, i don't know what happened but finally after about 50 different calls, i think. i have them all straightened out. 


this caused an excessive fee problem, which is not my fault because i updated my info with everybody else too and they managed to get it right",Checking or savings account + Checking account
i am having a problem with xxxx credit report agency with something about chase showing on my xxxx consumer report please help me with this problem chase bank closed my account without my permission and wont allow me to open any new accounts because of a fraud account from the pass showing on my xxxx   report please help me with this,"Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"this bank has consistantly manipulated my direct deposits in order to charge fees. i have an online xxxx shop with direct deposits which can have deposits one to five times a week depending on sales. all deposits are submitted to bank between xxxx xxxx and xxxx xxxx and i am sent an email stating funds have been sent to bank in addition to the money shown on the funding page of my site showing when they remove from my shop account and send to bank. 
when i have suffecient funds already in bank, when there would be no way to manipulate deposits and charges, checks etc chase will deposit these direct deposits prior to any other charges every time my bank history shows this to be consistant but when i am going to be short for a charge if the deposit is not deposited first they have been consistantly charging me for any checks or withdrawls prior to my direct deposit. and only when they can be sure to charge me a fee if they do not deposit first. case in point is a fee i acquired on xx/xx/2019. i had apx {$95.00} available that morning. i got my confirmation from my xxxx account that funds where sent to bank at xxxx xxxxm. i had a check written to the xxxx xxxx xxxxxxxx for utilities for {$120.00} in which i know was not deposited until after xxxx to our town of apx 300 people at the small local bank. 
i check at apx xxxx xxxx  on xx/xx/xxxx and there is no withdrawl but the deposit was shown as pending. i check again at apx xxxx this xxxx and chase has taken the check and processed it first and the direct deposit after!! again!! but both where showing as processed. i once again, i have to do this time to time i live on ssi and my income is low and so i live hand to mouth and pray i sell something on xxxx to eat all month. i wrote them and told them to stop cheating me and manipulating. the refused to refund charge. in addition they have now moved the direct deposit not only behind check and the service fee of {$34.00} but it is now showing as pending again along with another direct deposit that was processed on xx/xx/2019 at xxxx : xxxx but i can go back, month after month, for two years and every time i have sufficient funds and there is no way to charge me a fee, my direct deposits from xxxx are processed prior to any other charges!!! 
this is something chase was sued for. it is unethical and maybe not illegal maybe it is. they should not have the ability to process a deposit however they want, when they want in order to charge fees. if they deposit the direct deposit prior to charges 99 percent of time but yet don't only if they can xxxx me that is deceptive practice. i should be able to count on the fact that my direct deposits will always be deposited the same which is prior to charges not be screwed by this corrupt institution. 
i want my fee returned and i want this bank to be told they can not do whatever the xxxx they want when they want to xxxx consumers. 
i have been getting these direct deposits over 2-3 yrs now on a weekly if not daily basis. this account is established and there is no reason for them to pend the amount only in order to charge a fee but not to pend it when they can not. 
please help. 
i have over a thousand emails showing when my direct deposits are sent to bank but i don't know how to upload and save these or to attach them below. i am in my mid 60s and not very literate on computers or social media etc. i also have years worth of bank  statements online or daily records for at least several months in which you can see that when i have funds available and that there would be no way to xxxx a fee from me, they have always deposited the xxxx direct prior to charges and that the only time this is not done is when i am short a few dollars here or there and depend on my direct deposit to be processed as it is all the other times, first before withdrawls. yet they don't and charge me fees. i can prove this over and over.",Checking or savings account + Checking account
"i got an auto loan in 2015 to buy a car. 2yrs or so the motor vehicle was surrendered/repossessed. i did not get any letter of collection. i am seeking a mortgage now and was made aware by a lender that a collection of {$8000.00} was on my report. i contacted the bank and was told that the car was appraised and auctioned for {$3900.00}, and that they are seeking to collect said {$8000.00}.",Debt collection + Auto debt
i sent in some paperwork the other week to clear up some mis information with jpmcb and it seems there has yet to be action taken. i need the misinformation removed from my report for all fairness. they are requesting absurd amounts of money that i am not liable for.,"Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"to whom it may concern : i am trying to save my home and the lender is saying i have old history with xxxx xxxx xxxxxxxx, chase and xxxx xxxx. 

these accounts appear to be close the the 7 year mark. upon looking at the accounts there are a few months left. i am hoping someone here can help me with a good will adjustment. 

please i need these accounts removed. if it is possible for you to look into this and help me get these accounts deleted. there are 4 in total. 

thank you xxxx","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"on xxxx/xxxx/xxxx, i moved from my house in xxxx to a xxxx for two years. after the move, someone went through my trash and cashed a torn, fraudulent check. the check was dated in xxxx and was still cashed by a xxxx branch. i filed a claim with chase 's fraud department immediately after recognizing the fraud. they refused to reimburse the money because the check was not shredded. i filed another complaint pointing out that the check had been torn and was dated two years ago. they refused to change their decision and said it would not be considered again.",Bank account or service + Checking account
"on xx/xx/xxxx i attempted to use my southwest rapid rewards visa card and was told that it had been blocked by chase bank due to fraudulent activity. i called in at that time and identified all of the questionable charges as legitimate, as i was in the process of moving and one of the charges was for the moving company and the other was for a lunch i had taken a fellow who had helped me pack. i explained to the agent at that time that i was in the process of moving and the block on my account was lifted. this morning ( xx/xx/xxxx ) i attempted to purchase office supplies from xxxx xxxx, a company that i regularly do business with and had ordered supplies that i usually include with an online order. i received an e-mail this morning from xxxx xxxx after i had completed the transaction online that the transaction was declined and shortly thereafter received an e-mail from southwest rapid rewards visa ( chase bank ) that two transactions had been blocked ; the transaction with xxxx xxxx and a transaction with xxxx xxxx xxxx for the rental of a unit i have with them. i have leased this space for three years and each month on the xx/xx/xxxx or xx/xx/xxxx of the month xxxx xxxx xxxx places a charge for the monthly rent. i later called southwest rapid rewards visa ( chase bank ) and verified that both of these charges were legitimate. i was told that the block on my card had again been lifted. i then questioned why a ) a charge that was recurrent every month had been blocked ( and clearly was legitimate ) and b ) why a charge to a merchant that i regularly do business with for items that i regularly purchase online was blocked. i then got passed from department to department with no clear answer being given. several minutes later i called xxxx xxxx to ask them to resubmit the transaction on the southwest rapid rewards visa and they told me the account was still blocked ( in spite of the fact chase bank had previously told me they had lifted the block on the account ).",Credit card or prepaid card + General-purpose credit card or charge card
the items that are on my report are false,Consumer Loan + Vehicle loan
"xxxx and chase are the instructions involved. there was a purchase to xxxx for a specialized strength workout magazine. the item was to arrive in a booklet format and digital. only the digital version was made available the physical copy never arrived. 

reported to chase on xx/xx/xxxx chase denied the claim xx/xx/xxxx chase claim number xxxx",Checking or savings account + Checking account
"over the months of xxxx and xx/xx/2020, i received refunds to my chase credit card from xxxx xxxx xxxx for canceled cruises, due to covid-19. in xxxx i had a balance of {$1900.00} of refunded credit on my chase credit card account. on xx/xx/2020, i decided to withdraw this balance at an atm, to be deposited back in my checking account. i discovered at the atm that i could only withdraw {$500.00} at a time and there would be a xxxx atm fee. i made withdrawals on xxxx xxxx, and xxxx, for a total of {$1800.00}, leaving enough credited money available to cover the atm fees. on xx/xx/xxxx, i checked my chase account to see if the withdrawals were reflected on the credit card balance. that is when i discovered that a {$94.00} service fee had been charged to my account for the withdrawal of my accredited funds. i called the chase complaint department on three occasions, and have spoken to 5 chase representatives, the last one being, account supervisor xxxx in xxxx, fl. she informed me that i was charged cash advance fees at the rate of 5 %, and they were nonrefundable. i don't feel these charges apply, since it was my credited money that had been withdrawn not cash advances from chase.",Credit card or prepaid card + General-purpose prepaid card
i called jp morgan chase to file a claim against these unauthorized transaction and after review they denied the claim due to cause : mentioned i used this merchant inn the past merchant : xxxx xxxx  xxxx xxxx xxxx transaction date:xx/xx/xxxx amount:xxxx dispute claim date : xx/xx/xxxx,Checking or savings account + Checking account
"chase bank refused to properly authenticate the account and go through the full verification. the agent got an attitude then when i asked to speak to the supervisor she refused to verify the account for my own requests of adding a verbal passcode to the account the supervisor nor the representative verified the account fully. 

supervisor name : xxxx agent involved : xxxx",Checking or savings account + Checking account
"on about xx/xx/2019 i opened two custodial accounts for my daughters ( minors ) with two checks from their great aunt dated xx/xx/2019. the checks were drawn on xxxx xxxx for {$15000.00} each which intentionally is the annual exclusion amount for 2019 as this was part of her estate planning. 
while both checks cleared from xxxx xxxx, chase bank decided that one of them was fraudulent, closed the account without notifying me, and i've been fighting with them for four months to get my daughter 's money back from them. it is currently held by them and was not returned to xxxx. 
originally they asked that the donor call them but she was in failing health in a nursing home so we sent them the authorization from her power of attorney which they said would work. the donor xxxx in xxxx and now they want the executor to drive several hours from his home in xxxx to a chase bank in ohio to prove he is executor and indicate the check is not fraudulent. i believe any reasonable person would find this unacceptable. 
facts around the issue and expectation : the check cleared the xxxx xxxx account in xxxx of 2019 as did several others for the same amount and this is the only one with a problem. chase had two accounts opened and funded by the same xxxx account, signed by the same holder, on the same day and neither one was returned by xxxx. both checks were for the unified annual exclusion amount of {$15000.00}. at some point common sense should indicate their flagging this check as fraudulent was in error and they should give my daughter back her money.",Checking or savings account + Savings account
there are inquires being reported on my credit report that i dont know where they came from my personal information was stolen and i had all my bank information changed. i have never inquired about any of the inquires being reported.,"Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"this is a reverse credit card complaint. 

my complaint is with chase merchant services. my company previously had online  credit card services with them in xxxx  (we used their company to run credit cards for purchases made to us). this company started a reserve for charge back services for our company. our account was closed out with them in xx/xx/xxxx, at the time we were told it would take 6 months for the funds to be returned to us. it is now xx/xx/xxxx, two years since the account was closed and we have yet to see a dime of our money from this company. we have called repeatedly, been given the run around, sent to a million different employees ""who can help solve our issues"" yet we have seen no refund and gotten no assistance. this is my next step before legal action is taken.",Debt collection + Credit card debt
"i have opened a chase checking account in xxxx when the banker asked me to log in to my t xxxx account to pull my bill for address verification. 
the banker pulled the wrong document ( expired a year ago ) **the year date was expired!. 
a couple of weeks later my account has been closed with no reason to explain from the bank side. 
the account was closed by chase, i just was xxxx  in the usa and the banker took advantage of me not knowing the rules and basically he pushed me to open account more then i wanted to. ( the reason i was on the branch to cash a check because i did not have bank account on chase ). 

xx/xx/xxxx i opened a checking account on chase threw the website, www.chase.com i deposit xxxx $ into the account to make sure i can start using it and i also signed my xxxx account for fast transfers. 
a day later i called chase regards credit card letter i got on the mail, the first representative was a woman, she closed my account right away saying the that she can't help me anymore, cut me off when i speak and basically trying to get me off the phone line, all of that just happened in a couple of minutes call, i hang up have no idea what is wrong with my account. 
so * she just closed my account with not even explaining to me what she is going to do * she did not give me any answers regards to the action she keeps saying "" we will not be able to maintain the account '' * from 1 to 5 her attitude was 0 * she did not let me talk at all * literally cutting me off when i try to talk hangup then i called again to just report on her bad service, finding myself talking with another representative that saying he can't give me her first name, basically trying to avoid my complaint with lies that he can't help me at all with anything because i don't have account and he does not see my account at all!! ( ssn given ), finally when i told him that i do have account and i deposit xxxx $ there he said "" aaa i find it ''. 
i asked for the manager, the manager tried to do something with my account with no success, so i asked for her manager, she gave me her manager, i'm already like an hour on the call trying to understand what is going on, no one having the power to answer me "" why my account has been closed '' finally, i talk with the supervisor saying he doesn't have the answer and he can't do anything about it ... i was shocked, i felt i'm in a loop that all the representatives are just not giving me the managers they just transfer me to other representatives. 
i asked the supervisor if i can talk with his manager and he just blocked my phone number and the answering machine said that i cant call chase anymore :0 1 day with 5 chase phone representatives does not have an answer to why my account was closed. blocked my number, decline my application, and all i wanted is to open an account on chase bank. my credit score has 100 % payments on time excellent score never had collections! i don't see why my chase account was closed i spent all my day to open an account on chase ended up ignored by 5 reps and blocked my phone number xx/xx/xxxx chase closed my account at the phone and block my number -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- ***i 'm right now in florida for business ( i do xxxx  xxxx  ) so that's why my address on not the xxxx xxxx xxxx xxxx xxxx xxxx xxxx  new york xxxx. 
i hope you understand",Checking or savings account + Checking account
"1st my son had need for a deposite of about a xxxx dollars cash into his account and he was out of town we just wanted to deposite and case bank contact information xxxx xxxx xxxx xxxx xxxx xxxx xxxx, la xxxx ( xxxx ) xxxx this is wrong are living in state that we ca n't take cash xxxx also i went to get a money order but if you dont bank thier they want sell you a money order to pay the government.",Bank account or service + Checking account
"i am need of help on how to proceed with credit card debt : 1. signed up with a credit card debt consolidation company 2. no results, so stopped sending payments 3. filed a chapter xxxx bankruptcy 4. voluntarily dismissed due to large irs debt on both ex-husband and myself that made payment unobtainable. 
5. obtained a mortgage modification to save house. 
6. communicated with irs to become 'non-collectible ' currently, credit card debt that had sat idle is now coming forward to collections and i need assistance on how to proceed effectively. 

i 'm afraid that bank accounts will begin to be levied or propterty seized.",Debt collection + Credit card
"i received a letter from chase bank that they are closing my account due to inactivity, even though i have made at least one purchase a month with the card for the last three to four years. i made two purchases this month.",Credit card or prepaid card + General-purpose credit card or charge card
"hi, i was using chase sapphire preferred card, i have booked a flight ticket of xxxx xxxx for {$4000.00} from their own travel website, for some reason on the date of flying the passengers were not able to take the flight. 
the flight company asked to reach out to the vendor ( chase travels ) to cancel or reschedule the flight since i used their service to book the flight. 
it was around 4 hours before the flight, i tried calling the chase travel whole night but no one picked up the call and meanwhile the flight took off. 
next day chase travel said that since the flight is gone we can not refund anything. i asked them that's it's your mistake since no one took my call when i tried for whole night for at least 4-5 hours. 
they said, since we can not cancel the ticket after 24 hours of booking, but i asked them that at least someone should have taken my grievance that time, and i was asking for re-schedule also for at least the return flight cost rather than the whole flight. but since no one picked up the call whole night they are putting this cost to my account and forcing me to pay. 
need help in such case. 
regards xxxx",Credit card or prepaid card + General-purpose credit card or charge card
"on xxxx xxxx, my debit card was closed while i was trying to buy groceries. i had used my card 3 times previously ( the same day ) without any issues. after getting home and waiting on hold for over an hour, i was informed chase had closed both of my savings accounts, credit cards, and closed my debit card without even notifying me of them going to do so. no one i spoke with could give me any answers as to why all of my accounts were closed, just that my account was under review and it was determined that chase could not sustain our accounts anymore. i'm not even sure what that means. i had tried calling multiple times to chase, calling xxxx 3 times, and even going to the local chase branch with no luck. i was advised while speaking to a supervisor at chase, to go close my checking account immediately and pull my money out because my checking looks like it's the next thing to be closed. my husband and i went to the local branch and pulled the remaining money we had in checking, which isn't much. we are not able to access any of the money in our savings account- which i need access to to pay my xxxx xxxx xxxx this week. we have about {$12000.00} in savings with no access to it. chase is holding our money hostage and not giving us any answers as to why this is happening. we have been loyal customers for 15 plus years without any issues. we just want our money and will happily take our business somewhere else. 
also, i am a xxxx xxxx worker, already beyond stressed during this pandemic, and this issue hasn't helped matters for me. it's adding even more stress to an already stressful situation.",Checking or savings account + Savings account
"on xx/xx/2015 j.p. morgan chase withdrew from my checking account {$6600.00}, apparently on irs behalf. after the internal file went through the complaint department, j.p. morgan chase confirms funds wo n't be returned, unless irs authorized. i have never received any communication from irs, and after i called them i was told to talk with the bank. as mentioned above, the bank wo n't return me the funds. so i feel abandon and extremely frustrated. the reason why the funds were withdrawn is because xxxx form was incorrectly filled out by, j.p. morgan chase. moreover, this situation is causing me financial issues as i ca n't afford the bill is committed myself.",Bank account or service + Checking account
i am listed as an authorized user for a credit card that i have no knowledge of. i have no personal or business knowledge of any transactions for this credit account.,Debt collection + Credit card debt
"on going fraud with chase needs to be investigated in reference and relation to this complaint. via mail, requests for re-submission etc. out of compliance documents, with spelling mistakes and dates to list missing. mail fraud - see attachments filed a dispute including support documentation with chase bank ( see attached ) via online. {$5000.00} total claim ref xxxx filed sunday, xx/xx/xxxx ( xxxx xxxx xxxx ). i had to spend xxxx xxxx xxxx  without the xxxx i gave xxxx to because of xxxx xxxx of xxxx xxxx xxxx, hence the dispute. this was a 2 part dispute of {$5200.00} total. {$200.00} is through another financial institution. emailed in additional support documentation, xx/xx/xxxx ( 4 attachments ) received an email response of receival and confirmation from chase. on xx/xx/xxxx additional 13 attachments of support documentation were emailed over. temporary credit was not issued, did not receive any response back from chase, so i emailed chase for an update : was asked to re-submit all paperwork. on xx/xx/xxxx paperwork was re-submitted. ( all emails between chase and i are attached ). i notified chase : the business in question confirmed verbally of a refund, however never processed it. there was a dissolution with the business otherwise i wouldnt have filed a dispute. on xx/xx/xxxx received an email of denial of services from chase. clarification was not provided. i attempted to call and email via secure messaging for answers. i have provided all correspondence ( attached ). chase did not follow up or let me appeal the dispute in question. after multiple requests, i have not received communication on this matter from the dispute department. 
reason for dispute : attorney misconduct breach of duties breach of contract negligence early xxxx i contacted the reported the issues to executive office branch- this was emailed to the executive office branch to xxxx- free agreement is added to attachments "" i added the fax list to this email as an attachment, along with confirmation of fax deliveries and mailing delivery confirmation. all paperwork was faxed and mailed to your claims/disputes department. within time frames of xxxx xxxx xx/xx/xxxx to xxxx xxxx xxxx  xx/xx/xxxx xxxx. for mailing pickup of this information. usps tracking # xxxx. item arrived at xxxx xxxx, tx xxxx post office at xxxx xxxx on xx/xx/xxxx. 
your claims and dispute departments should not have any further excuses. all necessary requested information/forms have been mailed, emailed and faxed prior to xx/xx/xxxx to avoid any delay or denial of temporary credit. have a great day. 

xxxx ref # xxxx xxxx reason for dispute : attorney misconduct -excessive billing, inaccurate false information, hiding evidence. 
breach of duties breach of contract negligence for dispute support documentation see attachments. 

xxxx, as requested- see email asking for a retainer xx/xx/xxxx, and a deposit for the re tainer made : xx/xx/xxxx. {$5000.00}. when it comes to excessive billing, most of his calls and emails were due to his staff unable to read, write and comprehend the basic english language or the opposing attorney living in the archaic age. the xxxx xxxx on the other hand should have refused to take in this filing to begin with, as the case is now considered out of compliance. on both attorney 's part.",Checking or savings account + Checking account
"the complaint at its core is the loan was charged off and closed prior to receiving all insurance monies. the vehicle total loss date was xx/xx/xxxx. all payments had previously been made on time or prior to monthly due date of the xxxx up to and including the xx/xx/xxxx payment. i knew everything would be covered by the primary insurance, service contract cancellations, and gap payments and communicated this to the finance company multiple times. because of communication issues between the finance company and the primary insurance company, the insurance payments were delayed from the very start. i had to email the settlement summary from the primary insurance to the finance company on xx/xx/xxxx because they could not communicate and i had to step in. it was this same day that i sent the finance company the gap checklist to obtain gap benefits.
onxx/xx/xxxx i physically went to the dealership from where i purchased the vehicle to cancel the extended warranty and oil service contracts. i found out much later that only the extended warranty was cancelled at this time. it took approximately 2 months for the extended warranty cancellation refund to reach the finance company and my account. i did not realize until the end of xx/xx/xxxx that the oil service contract had not been canceled and it seems the finance company had no idea either. once i realized this mistake, i physically went back to the dealership to have the oil service canceled even though i have paperwork showing it was cancelled in xx/xx/xxxx.
the initial gap payment was made in early xx/xx/xxxx. the breakdown i received was dated xx/xx/xxxx. in the gap benefit calculation the original full price of both the extended warranty and the oil service contract are deducted from the initial payment. in a page accompanying the breakdown titled "" important questions and answers '', an explanation is given as to how a supplemental payment is made to the lender for the used portion of the extended service contracts. i highlighted this section in a phone call and email to the finance company both occurring on xx/xx/xxxx.
in early xx/xx/xxxx, i received a final bill closing the auto loan account. i emailed the finance companyxx/xx/xxxx to once again highlight the paragraph explaining the supplemental gap payment to show they were closing the account in error. on or just before xx/xx/xxxx i received a breakdown of the supplemental gap payment which i immediately emailed to the finance company. i then called and spoke to the finance company about the final payment from the gap policy. the gap company had amended my finance contract to state the finance company would backdate insurance benefit payments to the date of loss as had happened with the previous payments but since the account had been charged off, they could no longer backdate the final payment from the gap company. i was told by a supervisor that they were in the process of waving the final balance of {$13.00} but that has never occurred.",Vehicle loan or lease + Loan
"my parents set-up a trust account 3 yrs ago due to health issues and to make it easier for my brother & i to have access to their financial accounts once they passed away. they listed me as the first trustee and my brother as successor trustee. chase bank is making us work to get to the money. here are some of the things that have happened : 1 ) chase lost the form that my mom signed listing my brother & i as the beneficiaries of one of her accounts - we had to hire mom 's attorney to do additional paperwork at a cost of {$500.00} to get the account moved into the trust so we can access it ; 2 ) i was asked to create a new trust account with my name, ssn, and federal ein number in order for chase to move the old trust funds into the new trust account ; 3 ) now i am being told that i have to create another trust account because they are unable to move the original trust funds into the newly created trust fund ( different ein and ssn numbers is the excuse ) ; 4 ) the trust account was frozen after my mom passed away but when we needed to access funds, they were able to unfreeze the account but then the problem with getting some funds was that "" someone '' had started reinvesting the money. this was odd because we were told that xxxx was the person in charge of mom 's account. we had n't authorized any reinvestment of the account.",Bank account or service + Other bank product/service
"hi, my chase marriott bonvoy credit card ending in xxxx was closed on xx/xx/xxxx. there was a credit of {$85.00} on my account. chase did not send me refund check until i called them today ( xx/xx/ ) to check the status. they said i have to explicitly request for credit when i close the account. it is clearly deceptive practice to keep the consumer money after closing the account. also they are not offering to wire the money to my bank account that they have on the file.xxxx  xxxx and other credit card companies wired me the money.",Credit card or prepaid card + General-purpose credit card or charge card
chase has called my job 3 times in attempts to collect a debt. i never gave them my job number but somehow they have tracked it down. i can lose my job for this. i would like for chase not to call my job. at this time i am enrolled in a debt consolidation program.,Debt collection + Credit card debt
"i have a xxxx account with no incoming international wire fee through chase. 
however, i was charged wire fee, and i asked xxxx about the fee but was asked to contact chase. 


xx/xx/xxxx i wired {$7500.00} amount through chase account ( xxxx ) to my xxxx account xxxx ( attached swift ) xx/xx/xxxx only {$7400.00} posted. i asked xxxx numerous times but they said the sender charged the fee but sender sent me the full swift that shows no fee charged from the sender side. 

xx/xx/xxxx i wired {$8000.00} amount through chase account ( xxxx ) to my xxxx account xxxx. 
xx/xx/xxxx only {$7900.00} posted.","Money transfer, virtual currency, or money service + International money transfer"
"i xxxx xxxx xxxx xxxx and the majority of my clients pay by credit card. this money goes into my account the next day - after xxxx. between the hours of xxxx xxxx and xxxx, transactions for the day will be processed.

if the total number of transactions are greater than the balance that is in my account at xxxx xxxx, chase will deduct the highest amounts first resulting in multiple overdraft fees. for example, at xxxx xxxx last night the balance in my account was {$340.00}. between xxxx xxxx and xxxx 5 transactions were processed. the amounts were as follows : {$34.00} {$44.00} {$56.00} {$74.00} {$380.00} this totals {$590.00}. chase deducted the {$380.00} amount first which overdrew the account. they paid all of these because history shows that with my merchant account deposits after xxxx, the money would be there literally in minutes. ( after these were processed my merchant deposit hit in the amount of {$1300.00} - plenty to cover the transactions ) had they deducted the smaller amounts first, the only item that would have made the account go into the negative was the {$380.00}. but, because they have the right to deduct the money however they see fit this will cost me {$170.00}, not {$34.00}.

just because they have the right to do something does n't make it the right thing to do! i have complained numerous times to chase about this, and the local staff is sympathetic, but there is nothing they can do.

this policy - and all banks do it - is killing the xxxx xxxx xxxx.",Checking or savings account + Checking account
"i had a split mortgage with xxxx xxxx xxxx and jpmcb home. both accounts were legally paid in full for less than the full balance. the foreclosure was discontinued. while i was xxxx, my ex wife did not pay the mortgage. with my job in the xxxx i had no way of knowing. in our divorce the judge ruled in my favor of the responsibility of the payments being made hers while i was in xxxx. when i returned home i worked with the banks to rectify the situation and was able to pay the mortgage off. please remove this from my report as she was ruled the responsible party ...",Mortgage + Conventional home mortgage
"my slate chase account ending in xxxx was re-billed in the amount of xxxx, a purchase from xxxx xxxx store xxxx xxxx, ca. as i stated in dispute and again here, the package shows delivered on xxxx, signed for by a xxxx xxxx. i was not at home on this date and no one by the name, xxxx xxxx, lives at my address. i also stated that this transaction/order was canceled by myself prior but the store has a no refund policy and ignored my request to cancel. please advise chase that i refuse to pay for this purchase and needs to be credited off my account, this transaction is causing the account to be over-limit.",Credit card or prepaid card + General-purpose credit card or charge card
"someone walked into a chase bank branch, impersonated me and withdrew {$2000.00} from one of my accounts without an atm card or pin. chase froze my account ( i 'm told it will be frozen for 30 days and that i may be reimbursed ) and is restricting access to my funds for that period as well.",Bank account or service + Checking account
"i received a statement from chase on xx/xx/19 regarding an act ending xxxx balance : {$5600.00} creditor : jpmorgan chase bank, n.a. 

the letter states that action needed : please pay your student loan balance in full. 
the letter is addressed in my previous married last name xxxx. 
it says they haven't received the balance owed on my student loan and that i have defaulted on my loan, and must pay the full balance. 
i have not received a statement from chase in over 12 years. chase sold my loan to xxxx ( also stated on their website, that all student loans were transferred to xxxx ). i have an active account with xxxx, that i have been paying on. 
nowhere on any credit report does it show a chase student loan. this is the first and only notice i have received from chase.",Debt collection + Private student loan debt
"i have 3 credit cards with chase as the credit cards holding bank. i am slo now applying to refinance my home with chase. as i am sure you are aware when you apply for credit cards, it is unknown the holding bank. i found this out naturally after the fact. so with the 3 credit cards & now applying for a refinance, i am paying of course interest on ( 4 ) of chase 's products. i have called in the past to assess if my interest rates can be lowered, to no avail. i have a very good credit rating, yet i feel & think this practice is unfair to collect interest now on ( 4 ) products! chase should work with me to help lower my interest rates on all products/ services! they have not regardless of my inquiries. 
being a senior on a fixed income, the lowering of my interest rates would be benefical for me financially. chase is "" ripping me off '' with such high interest rates on each card & now additional interest rate for my refinance. it is not very consumer friendly to take advantage of people. if you can assist with this issue, thank you in advance.",Credit card or prepaid card + General-purpose credit card or charge card
"hello, xxxx-20 please note the attached, you will see the only response that i could find from the merchant that chase visa based their dispute denial case on. ( at the top of the attached in a boarder box ). 

the attached shows what the merchant claims, it also shows the time line and the proof regarding the false claim made by the merchant that i did not complain. if you have trouble seeing the pics in the attached doc, click on them to enlarge. 

i was told in no uncertain terms by the chase rep xxxx ( exec. offices ) who called me on xxxx-20 at xxxx xxxx that chase visa only pursued one aspect of my dispute ... the fact that the software was defective. they for what ever reason decided to separate the dispute into 2 cases, and they paid no attention to the fact that i asked for a refund in the time required by the merchant because of the defective software. as stated, i was told by xxxx ( their rep ) that chase treated my dispute as 2 separate cases, so, i am filing a separate complaint against chase visa because they were negligent in the pursuit of my request for a refund in the time required. it makes no difference if the software was defective even if it was ... which it was. simple because i requested a refund in the time allotted by the merchant, the rest is important, but apparently irrelevant to chase. 

please note the attached correspondence, especially the time stamps on the mail i received and sent to the merchant. 

as you will see, chase visa did absolutely nothing to support my request for a refund, as a matter of fact they didnt acknowledge the fact that i had asked for a refund was even a talking point. all they used to claim that my dispute wasnt valid was that the merchant claimed the software was working even though i provided a letter from the merchant that states it was not working. what is the purpose of a dispute if the cc card company is going to side with the merchant ... just because they didnt agree with my claim. did they really think the merchant would come out and just agree with them and give the money back? chase visa didnt even do the minimum to secure me the refund, if they had it would have been clear that my claim was valid. 

as i have stated before, chase visa had an opportunity to do the right thing by approving my dispute because i provided them with definitive proof that i asked for a refund because the software wasnt working within the time required by the merchant. chase visa waited to long to pursue the claim, and would not accept responsibility for this. they even told me that to much time had passed! they were non-responsive when i tried to follow up, and or it took months for them to respond to me because of their staff shortages and the covid epidemic. they did not stand up for me and my dispute even though i provided proof that i was right. they should not be able to hide behind the form letter, rubber stamp ( standard response ) that they always use to make themselves sound professional, and that are responsive to the card holders needs. in this case the denial letter they sent me is the very definition of fraudulent spin rhetoric. 


thanks,",Credit card or prepaid card + General-purpose credit card or charge card
